DL,1080,0,70,0.18,0.04,0.03,直線
DL,410,0,45,0.50,0.20,0.06,カーブ
DL,300,0,70,0.15,0.12,0.12,直線
DL,1050,0,90,0.14,0.04,0.03,直線
DL,300,0,70,0.15,0.12,0.12,直線
DL,410,0,40,0.55,0.15,0.12,0.12,直線
DL,630,0,70,0.15,0.12,012,直進
