1100,70,0.18,0.04,0.03,直進
410,50,0.47,0.22,0.06,カーブ
300,70,0.15,0.12,0.12,直進
1040,90,0.14,0.04,0.03,直進
300,70,0.15,0.12,0.12,直進
410,50,0.52,0.20,0.06,カーブ
795,70,0.15,0.12,0.12,直進
